contract_multiplier,de_listed_date,exchange,listed_date,margin_rate,market_tplus,maturity_date,order_book_id,round_lot,symbol,trading_hours,type,underlying_order_book_id,underlying_symbol,order_book_id_symbol
5,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,AL1410,1,铝1410,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1410(AL1410)
5,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,CU1410,1,铜1410,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1410(CU1410)
5,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,ZN1410,1,锌1410,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1410(ZN1410)
5,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,PB1410,1,铅1410,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1410(PB1410)
1000,2014-10-15,SHFE,2013-10-16,0.04,0,2014-10-15,AU1410,1,黄金1410,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AU,黄金1410(AU1410)
10,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,RU1410,1,天然橡胶1410,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1410(RU1410)
15,2014-10-15,SHFE,2013-10-16,0.04,0,2014-10-15,AG1410,1,白银1410,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1410(AG1410)
10,2014-10-15,SHFE,2013-10-16,0.05,0,2014-10-15,RB1410,1,螺纹钢1410,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1410(RB1410)
10,2014-10-15,SHFE,2013-10-16,0.07,0,2014-10-15,WR1410,1,线材1410,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1410(WR1410)
10,2014-04-15,SHFE,2013-10-16,0.04,0,2014-04-15,BU1404,1,石油沥青1404,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1404(BU1404)
50,2014-10-31,SHFE,2013-11-01,0.08,0,2014-10-31,FU1411,1,燃料油1411,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1411(FU1411)
5,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,AL1411,1,铝1411,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1411(AL1411)
5,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,CU1411,1,铜1411,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1411(CU1411)
5,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,ZN1411,1,锌1411,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1411(ZN1411)
5,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,PB1411,1,铅1411,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1411(PB1411)
10,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,RU1411,1,天然橡胶1411,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1411(RU1411)
15,2014-11-17,SHFE,2013-11-18,0.04,0,2014-11-17,AG1411,1,白银1411,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1411(AG1411)
10,2014-11-17,SHFE,2013-11-18,0.05,0,2014-11-17,RB1411,1,螺纹钢1411,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1411(RB1411)
10,2014-11-17,SHFE,2013-11-18,0.07,0,2014-11-17,WR1411,1,线材1411,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1411(WR1411)
10,2014-05-15,SHFE,2013-11-18,0.04,0,2014-05-15,BU1405,1,石油沥青1405,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1405(BU1405)
50,2014-11-28,SHFE,2013-12-02,0.08,0,2014-11-28,FU1412,1,燃料油1412,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1412(FU1412)
5,2014-12-15,SHFE,2013-12-17,0.05,0,2014-12-15,CU1412,1,铜1412,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1412(CU1412)
5,2014-12-15,SHFE,2013-12-17,0.05,0,2014-12-15,AL1412,1,铝1412,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1412(AL1412)
5,2014-12-15,SHFE,2013-12-17,0.05,0,2014-12-15,ZN1412,1,锌1412,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1412(ZN1412)
5,2014-12-15,SHFE,2013-12-17,0.05,0,2014-12-15,PB1412,1,铅1412,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1412(PB1412)
1000,2014-12-15,SHFE,2013-12-17,0.04,0,2014-12-15,AU1412,1,黄金1412,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AU,黄金1412(AU1412)
15,2014-12-15,SHFE,2013-12-17,0.04,0,2014-12-15,AG1412,1,白银1412,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1412(AG1412)
10,2014-12-15,SHFE,2013-12-17,0.07,0,2014-12-15,WR1412,1,线材1412,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1412(WR1412)
10,2014-12-15,SHFE,2013-12-17,0.05,0,2014-12-15,RB1412,1,螺纹钢1412,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1412(RB1412)
10,2015-12-15,SHFE,2013-12-17,0.15,0,2015-12-15,BU1512,1,石油沥青1512,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1512(BU1512)
50,2014-12-31,SHFE,2014-01-02,0.08,0,2014-12-31,FU1501,1,燃料油1501,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1501(FU1501)
5,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,AL1501,1,铝1501,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1501(AL1501)
5,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,CU1501,1,铜1501,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1501(CU1501)
5,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,ZN1501,1,锌1501,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1501(ZN1501)
5,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,PB1501,1,铅1501,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1501(PB1501)
10,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,RU1501,1,天然橡胶1501,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1501(RU1501)
15,2015-01-15,SHFE,2014-01-16,0.04,0,2015-01-15,AG1501,1,白银1501,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1501(AG1501)
10,2015-01-15,SHFE,2014-01-16,0.05,0,2015-01-15,RB1501,1,螺纹钢1501,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1501(RB1501)
10,2015-01-15,SHFE,2014-01-16,0.07,0,2015-01-15,WR1501,1,线材1501,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1501(WR1501)
10,2014-07-15,SHFE,2014-01-16,0.04,0,2014-07-15,BU1407,1,石油沥青1407,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1407(BU1407)
5,2015-02-10,SHFE,2014-02-18,0.05,0,2015-02-10,CU1502,1,铜1502,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1502(CU1502)
5,2015-02-10,SHFE,2014-02-18,0.05,0,2015-02-10,AL1502,1,铝1502,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1502(AL1502)
5,2015-02-10,SHFE,2014-02-18,0.05,0,2015-02-10,ZN1502,1,锌1502,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1502(ZN1502)
5,2015-02-10,SHFE,2014-02-18,0.05,0,2015-02-10,PB1502,1,铅1502,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1502(PB1502)
15,2015-02-10,SHFE,2014-02-18,0.04,0,2015-02-10,AG1502,1,白银1502,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1502(AG1502)
1000,2015-02-10,SHFE,2014-02-18,0.04,0,2015-02-10,AU1502,1,黄金1502,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AU,黄金1502(AU1502)
